"num","REGISTRY_ID"
650,110045071729
651,110069156834
652,110071091222
653,110015551570
654,110043912834
655,110032478664
656,110006451641
657,110017945900
658,110037794287
659,110024698763
660,110044188232
661,110070346190
662,110034450582
663,110024919212
664,110038223794
665,110031458161
666,110005942490
667,110042340053
668,110031791185
669,110040678692
670,110071042464
671,110009626173
672,110037307624
673,110066734582
674,110067248295
675,110038431961
676,110016725061
677,110070006876
678,110041391348
679,110070230334
680,110050694717
681,110001795102
682,110008034938
683,110066379617
684,110031282305
685,110071923106
686,110064942969
687,110002023453
688,110005245074
689,110041719021
690,110005637980
691,110057017204
692,110030477482
693,110065083297
694,110009459175
695,110063841106
696,110044981222
697,110044886308
698,110058894594
699,110034793276
700,110022722455
701,110070420294
702,110004664532
703,110027758781
704,110070618443
705,110058226012
706,110039483706
707,110058791455
708,110003115389
709,110014186406
710,110068556075
711,110020877041
712,110067201281
713,110027252005
714,110018990056
715,110043269548
716,110071707540
717,110070097641
718,110024593732
719,110056183909
720,110003425730
721,110031429470
722,110043581380
723,110070445923
724,110028138021
725,110071178375
726,110003378728
727,110033503395
728,110013487066
729,110069138043
730,110071328063
731,110033460779
732,110018043268
733,110008844590
734,110034291950
735,110014221813
736,110040226662
737,110019305777
738,110070407047
739,110072163907
740,110018538019
741,110066496214
742,110071991008
743,110011819050
744,110070892127
745,110071367904
746,110070273457
747,110007398020
748,110029921510
749,110071978927
750,110071404634
751,110072028221
752,110044730280
753,110037571151
754,110039252992
755,110017330235
756,110014854719
757,110055613545
758,110007254675
759,110031912367
760,110069022220
761,110066513053
762,110055854446
763,110071726750
764,110012572037
765,110070490551
766,110045253907
767,110065104586
768,110071934803
769,110035213603
770,110043361475
771,110061909476
772,110071819665
773,110003621554
774,110070472476
775,110032375622
776,110067989403
777,110070894094
778,110060555420
779,110070429668
780,110033436583
781,110004163770
782,110006312837
783,110017829251
784,110056203415
785,110021350321
786,110071806871
787,110064956739
788,110054475769
789,110044890062
790,110019816840
791,110070481739
792,110068832641
793,110036148790
794,110070202936
795,110069594228
796,110070106395
797,110001564904
798,110017293105
799,110030559330
800,110064489860
801,110070455518
802,110036272618
803,110013303433
804,110045799800
805,110066647267
806,110019856681
807,110070874093
808,110018914362
809,110069691961
810,110044647102
811,110003133136
812,110066996665
813,110015494026
814,110070413183
815,110065337317
816,110004047031
817,110056304994
818,110032019170
819,110070200653
820,110067603766
821,110001376261
822,110071642671
823,110020823732
824,110041048130
825,110072113291
826,110066308686
827,110029490352
828,110011414442
829,110070039291
830,110068884924
831,110070050651
832,110020746228
833,110059863045
834,110072004910
835,110070945259
836,110044346730
837,110070344655
838,110039334486
839,110070683725
840,110070365667
841,110018529412
842,110035187641
843,110071737740
844,110056192016
845,110034424692
846,110013463983
847,110068529097
848,110041404423
849,110015331149
850,110071346513
851,110070613230
852,110019147350
853,110071023081
854,110071902281
855,110034204359
856,110022932157
857,110044976657
858,110058731412
859,110071921981
860,110044519937
861,110059815927
862,110071922753
863,110046316697
864,110070400540
865,110045435971
866,110037363723
867,110032767049
868,110037910455
869,110065513796
870,110046493996
871,110028238770
872,110019120734
873,110065160907
874,110030528463
875,110041452549
876,110065025804
877,110072110095
878,110065405662
879,110045095400
880,110070710161
881,110046523188
882,110030681091
883,110001921109
884,110003427159
885,110044958016
886,110018577556
887,110068143351
888,110022767692
889,110069162033
890,110070335012
891,110070426307
892,110064475919
893,110034646578
894,110032456349
895,110071981075
896,110066091552
897,110014273990
898,110045235615
899,110007395167
900,110072130262
901,110070067211
902,110070416666
903,110011110314
904,110042561714
905,110071133611
906,110036323298
907,110066333827
908,110019628526
909,110071911752
910,110018185890
911,110016915891
912,110070915304
913,110033929202
914,110035384704
915,110009612115
916,110018505713
917,110071251405
918,110071252449
919,110046522269
920,110039237554
921,110058884658
922,110070224792
923,110005920995
924,110032811330
925,110046385014
926,110070484281
927,110038710730
928,110071347778
929,110001019068
930,110045264691
931,110004808762
932,110067575948
933,110005414006
934,110072141576
935,110005215310
936,110002883657
937,110041250008
938,110070831638
939,110043766314
940,110008341142
941,110036233812
942,110070868987
943,110063831723
944,110005614399
945,110031828752
946,110071903705
947,110070601516
948,110065174885
949,110070217694
950,110001727052
951,110070640728
952,110006563897
953,110037847818
954,110070472043
955,110070437954
956,110070875402
957,110016944093
958,110019399186
959,110071968761
960,110033933787
961,110013152104
962,110056232928
963,110070627263
964,110068226342
965,110020889699
966,110031710584
967,110068005553
968,110012119037
969,110038755987
970,110003728048
971,110051772738
972,110003164566
973,110070487151
974,110040673107
975,110065655035
976,110065274349
977,110037831825
978,110025021036
979,110070478174
980,110003844626
981,110042572418
982,110065936161
983,110070332982
984,110060072237
985,110066403001
986,110057109267
987,110071296769
988,110064011769
989,110071248778
990,110018461449
991,110071482316
992,110001449521
993,110058619623
994,110046351354
995,110043082357
996,110041319917
997,110030926568
998,110019143434
999,110071911357
1000,110021116683
